the top left corner has position: 310630.5	5227502.5
the bottom right corner has position: 1320280.5	3924002.5
the  y-range of our map in boxes: 17380.0
the  x-range of our map in boxes: 13462.0
-- Map for coarsnes: 1
--Node (1, 3):	 403860.0	869000.0	734
--Node (3, 0):	 807720.0	217250.0	168
--Node (5, 4):	 1211580.0	1086250.0	0
--Node (2, 1):	 605790.0	434500.0	0
--Node (5, 1):	 1211580.0	434500.0	323
--Node (0, 3):	 201930.0	869000.0	168
--Node (4, 0):	 1009650.0	217250.0	0
--Node (1, 2):	 403860.0	651750.0	0
--Node (3, 3):	 807720.0	869000.0	225
--Node (4, 4):	 1009650.0	1086250.0	0
--Node (5, 0):	 1211580.0	217250.0	0
--Node (2, 2):	 605790.0	651750.0	0
--Node (4, 1):	 1009650.0	434500.0	0
--Node (1, 1):	 403860.0	434500.0	168
--Node (3, 2):	 807720.0	651750.0	323
--Node (0, 0):	 201930.0	217250.0	0
--Node (0, 4):	 201930.0	1086250.0	0
--Node (1, 4):	 403860.0	1086250.0	0
--Node (2, 3):	 605790.0	869000.0	323
--Node (4, 2):	 1009650.0	651750.0	0
--Node (1, 0):	 403860.0	217250.0	0
--Node (5, 3):	 1211580.0	869000.0	0
--Node (0, 1):	 201930.0	434500.0	0
--Node (5, 2):	 1211580.0	651750.0	993
--Node (3, 1):	 807720.0	434500.0	734
--Node (2, 4):	 605790.0	1086250.0	0
--Node (2, 0):	 605790.0	217250.0	0
--Node (4, 3):	 1009650.0	869000.0	986
--Node (3, 4):	 807720.0	1086250.0	986
--Node (0, 2):	 201930.0	651750.0	0
-- Map for coarsnes: 2
--Node (7, 3):	 807720.0	434500.0	734
--Node (6, 9):	 706755.0	1086250.0	0
--Node (0, 7):	 100965.0	869000.0	0
--Node (1, 6):	 201930.0	760375.0	0
--Node (3, 7):	 403860.0	869000.0	734
--Node (2, 5):	 302895.0	651750.0	0
--Node (8, 5):	 908685.0	651750.0	0
--Node (5, 8):	 605790.0	977625.0	0
--Node (4, 0):	 504825.0	108625.0	0
--Node (10, 8):	 1110615.0	977625.0	0
--Node (9, 0):	 1009650.0	108625.0	1500
--Node (6, 7):	 706755.0	869000.0	0
--Node (5, 5):	 605790.0	651750.0	0
--Node (11, 5):	 1211580.0	651750.0	993
